,drugName,condition,rating,usefulCount,eff_score,usefulness
0,Mirtazapine,Depression,10,22,1,220
1,Mesalamine,"Crohn's Disease, Maintenance",8,17,1,136
2,Bactrim,Urinary Tract Infection,9,3,1,27
3,Contrave,Weight Loss,9,35,1,315
4,Cyclafem 1 / 35,Birth Control,9,4,1,36
5,Zyclara,Keratosis,4,13,0,0
6,Copper,Birth Control,6,1,1,6
7,Amitriptyline,Migraine Prevention,9,32,1,288
8,Methadone,Opiate Withdrawal,7,21,1,147
9,Levora,Birth Control,2,3,0,0
10,Paroxetine,Hot Flashes,1,17,0,0
11,Miconazole,Vaginal Yeast Infection,6,7,1,42
12,Belviq,Weight Loss,1,57,0,0
13,Seroquel,Schizoaffective Disorde,10,19,1,190
14,Ambien,Insomnia,2,44,0,0
15,Nuvigil,Narcolepsy,9,14,1,126
16,Chantix,Smoking Cessation,10,26,1,260
17,Microgestin Fe 1 / 20,Acne,3,1,0,0
18,Klonopin,Bipolar Disorde,6,24,1,144
19,Ciprofloxacin,Urinary Tract Infection,10,9,1,90
20,Trazodone,Insomnia,1,15,0,0
21,EnteraGam,Irritable Bowel Syndrome,9,43,1,387
22,Aripiprazole,Bipolar Disorde,1,27,0,0
23,Cyclosporine,Keratoconjunctivitis Sicca,1,17,0,0
24,Oxybutynin,Hyperhidrosis,9,10,1,90
25,Lurasidone,Bipolar Disorde,6,18,1,108
26,Clonazepam,Panic Disorde,10,47,1,470
27,Ciclopirox,"Onychomycosis, Fingernail",8,38,1,304
28,Sodium oxybate,Narcolepsy,10,19,1,190
29,Lamotrigine,Bipolar Disorde,7,1,1,7
30,Blisovi Fe 1 / 20,Birth Control,10,4,1,40
31,Ivermectin,Rosacea,10,19,1,190
32,Suprep Bowel Prep Kit,Bowel Preparation,8,15,1,120
33,Movantik,"Constipation, Drug Induced",1,24,0,0
35,Actos,"Diabetes, Type 2",4,42,0,0
36,Duloxetine,Pain,9,32,1,288
37,NuvaRing,Birth Control,7,0,1,0
38,Escitalopram,Depression,9,32,1,288
39,Tesamorelin,Lipodystrophy,3,12,0,0
40,Campral,Alcohol Dependence,10,55,1,550
41,Gabapentin,Bipolar Disorde,8,75,1,600
42,Levonorgestrel,Emergency Contraception,10,20,1,200
43,Aubra,Birth Control,1,6,0,0
44,Plan B One-Step,Emergency Contraception,8,21,1,168
45,Ethinyl estradiol / etonogestrel,Birth Control,10,4,1,40
46,Microgestin Fe 1.5 / 30,Birth Control,1,4,0,0
47,Wellbutrin,Major Depressive Disorde,8,49,1,392
48,Clonazepam,Anxiety,6,20,1,120
49,Benzoyl peroxide / clindamycin,Acne,4,2,0,0
50,Etonogestrel,Birth Control,3,0,0,0
51,Miconazole,Vaginal Yeast Infection,1,5,0,0
52,Nitrofurantoin,Bladder Infection,9,7,1,63
53,Etonogestrel,Birth Control,5,7,0,0
54,Ortho Tri-Cyclen Lo,Birth Control,9,7,1,63
55,Tamsulosin,Benign Prostatic Hyperplasia,6,104,1,624
56,Tofacitinib,Rheumatoid Arthritis,9,75,1,675
57,Cryselle,Endometriosis,7,14,1,98
58,Amphetamine / dextroamphetamine,ADHD,2,57,0,0
59,Clindamycin,Acne,8,32,1,256
60,Pramipexole,Restless Legs Syndrome,1,16,0,0
61,Skyla,Birth Control,10,3,1,30
62,Lastacaft,"Conjunctivitis, Allergic",1,36,0,0
63,Effexor XR,Anxiety,2,13,0,0
64,Nifedipine,Raynaud's Syndrome,1,22,0,0
65,Lurasidone,Schizophrenia,8,26,1,208
66,Afrezza,"Diabetes, Type 1",10,125,1,1250
67,Zoloft,Depression,1,51,0,0
68,Ziprasidone,Schizophrenia,10,33,1,330
69,Bactrim,Kidney Infections,1,0,0,0
70,Ethinyl estradiol / norethindrone,Birth Control,3,4,0,0
71,Sertraline,Major Depressive Disorde,10,88,1,880
72,Aluminum chloride hexahydrate,Hyperhidrosis,7,5,1,35
73,Effexor XR,Depression,1,18,0,0
74,ParaGard,Birth Control,1,4,0,0
75,Pregabalin,Generalized Anxiety Disorde,10,228,1,2280
76,Ethinyl estradiol / levonorgestrel,Birth Control,9,4,1,36
77,Ultram,Pain,10,36,1,360
78,Phentermine,Obesity,10,5,1,50
79,Venlafaxine,Depression,8,36,1,288
80,Campral,Alcohol Dependence,10,80,1,800
81,Venlafaxine,Depression,1,5,0,0
82,Levonorgestrel,Emergency Contraception,10,14,1,140
83,BuSpar,Anxiety,4,17,0,0
84,Acetaminophen / hydrocodone,Pain,8,21,1,168
85,Aviane,Birth Control,10,9,1,90
86,Inderal,Migraine Prevention,10,45,1,450
87,Promethazine,Nausea/Vomiting,10,22,1,220
88,Tioconazole,Vaginal Yeast Infection,3,0,0,0
89,Orthovisc,Osteoarthritis,1,12,0,0
90,Implanon,Birth Control,5,1,0,0
91,Marezine,Motion Sickness,10,22,1,220
92,Levonorgestrel,Birth Control,10,1,1,10
93,Aripiprazole,Bipolar Disorde,8,16,1,128
94,Minoxidil,High Blood Pressure,1,10,0,0
95,Humira,Psoriatic Arthritis,10,4,1,40
96,"Insulin inhalation, rapid acting","Diabetes, Type 1",1,9,0,0
97,Acetaminophen / hydrocodone,Pain,9,15,1,135
98,Phenazopyridine,Interstitial Cystitis,10,34,1,340
99,Levonorgestrel,Birth Control,10,0,1,0
100,Clonidine,ADHD,10,159,1,1590
101,Ethinyl estradiol / norgestimate,Birth Control,4,35,0,0
102,Nicoderm CQ,Smoking Cessation,10,14,1,140
103,Levonorgestrel,Emergency Contraception,8,9,1,72
104,Celecoxib,Osteoarthritis,1,35,0,0
105,Fluoxetine,Major Depressive Disorde,10,58,1,580
106,Topamax,Migraine Prevention,1,31,0,0
107,Depakote,Bipolar Disorde,8,22,1,176
108,Riboflavin,Migraine Prevention,8,22,1,176
109,Lo Loestrin Fe,Birth Control,1,3,0,0
110,Copper,Birth Control,5,6,0,0
111,Drospirenone / estradiol,Postmenopausal Symptoms,10,7,1,70
112,Bupropion,Depression,4,15,0,0
113,Bacitracin / neomycin / polymyxin b,Bacterial Skin Infection,10,0,1,0
114,Phentermine,Weight Loss,9,19,1,171
115,Yaz,Birth Control,2,4,0,0
116,Copper,Birth Control,10,24,1,240
117,Amitriptyline,ibromyalgia,1,0,0,0
118,Jolessa,Birth Control,9,5,1,45
119,Guaifenesin / pseudoephedrine,Cough and Nasal Congestion,9,12,1,108
120,Oxycodone,Pain,10,60,1,600
121,Nexplanon,Birth Control,3,2,0,0
122,Bupropion,Depression,5,11,0,0
123,Brisdelle,Hot Flashes,2,15,0,0
124,Bupropion,Smoking Cessation,10,11,1,110
125,Beyaz,Acne,10,12,1,120
